ID_GIORNATA;Data;ID_COLLABORATORE;ID_TASK;Tipo;Desk;gg;Spese_Viaggi;Vitto_alloggio;Altri_costi;Spese_Fatturate_VP;Confermata;Note;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA;has_images
DAY000000001;2025-01-09;CONS001;TAS00006;Campo;;1,00;250,00;;;;Si;;;;;;0
DAY000000002;2024-12-10;CONS001;TAS00006;Campo;;1,00;180,00;;;;Si;"DATA FARLOCCA";;;;;0
DAY000000003;2024-12-10;CONS001;TAS00007;Campo;;1,00;250,00;38,00;;;Si;"DATA FARLOCCA";;;;;0
DAY000000004;2024-12-10;CONS003;TAS00005;Campo;Si;0,50;;;;;Si;"DATA FARLOCCA";;;;;0
DAY000000005;2024-12-11;CONS004;TAS00002;Campo;;1,00;;;;;Si;;;;;;0
DAY000000006;2024-12-18;CONS004;TAS00002;Campo;;1,00;;;;;Si;;;;;;0
DAY000000007;2024-12-12;CONS002;TAS00002;Campo;;0,50;;;;;Si;;;;;;0
DAY000000008;2025-01-15;CONS001;TAS00007;Campo;;1,00;250,00;;;;Si;;;;;;0
DAY000000009;2025-01-16;CONS001;TAS00001;Campo;;0,50;;;;;Si;;;;;;0
DAY000000010;2025-01-24;CONS001;TAS00019;Campo;;1,00;;;;;Si;;;;;;0
DAY000000011;2025-01-30;CONS001;TAS00029;Promo;;0,50;;;;;Si;LAVAZZA;;;;;0
DAY000000012;2025-01-31;CONS001;TAS00009;Campo;;0,50;;;;;Si;"NON PRESENTE NEL FOGLIO DI ALE";;;;;0
DAY000000013;2025-02-06;CONS001;TAS00019;Campo;;1,00;;;;;Si;;;;;;0
DAY000000014;2025-02-07;CONS001;TAS00001;Campo;;0,50;;;;;Si;;;;;;0
DAY000000015;2025-02-07;CONS001;TAS00009;Campo;;0,50;;;;;Si;;;;;;0
DAY000000016;2025-02-12;CONS001;TAS00027;Campo;;1,00;;;;;Si;;;;;;0
